_id,id,name,email,role,Designation,password,batchId,__v,createdAt
660feb0a6f3688dd93b442c9,INT047,Margaret Farrell,hernandezjeremy@example.net,Intern,Trainee Engineer,&)9HX@dK,1.0,,
660feb0a6f3688dd93b442cd,INT051,James Jensen Jr.,moralesbeth@example.net,Intern,Trainee Engineer,+8FGcq+c,1.0,,
660feb0a6f3688dd93b442d1,INT055,John Moore,laurie59@example.com,Intern,Trainee Engineer,L*2X2oYV,1.0,,
660feb0a6f3688dd93b442d5,INT059,Valerie Harper,zachary16@example.net,Intern,Trainee Engineer,@0H)Eqzk,1.0,,
660feb0a6f3688dd93b442d8,INT062,Mckenzie Nguyen,marythomas@example.org,Intern,Trainee Engineer,!E6A_KWi,1.0,,
660feb0a6f3688dd93b442db,INT065,Charles Brown,qvasquez@example.org,Intern,Trainee Engineer,#6KJl5gP,1.0,,
660feb0a6f3688dd93b442de,INT068,Henry Diaz,christinewise@example.net,Intern,Trainee Engineer,&7(PiaOj,1.0,,
660feb0a6f3688dd93b442e0,INT070,Michelle Jones,ataylor@example.com,Intern,Trainee Engineer,!1A(mtCH,1.0,,
660feb0a6f3688dd93b442e4,INT074,Steven Ward,robert16@example.net,Intern,Trainee Engineer,z6@k5Zj7,1.0,,
660feb0a6f3688dd93b442e8,INT078,Ronald Peterson,jeffrey10@example.net,Intern,Trainee Engineer,^*9BSsH^,1.0,,
660feb0a6f3688dd93b442e9,INT079,Dawn Bryant,bbowman@example.org,Intern,Trainee Engineer,z4T(4pAo,1.0,,
660feb0a6f3688dd93b442ea,INT080,Thomas Palmer,richard22@example.org,Intern,Trainee Engineer,nl@$5IXe,1.0,,
660feb0a6f3688dd93b442eb,INT081,Brent Jones,valeriemendez@example.org,Intern,Trainee Engineer,!t8!g3Fx,1.0,,
660feb0a6f3688dd93b442ee,INT084,Joseph Barnes,rhendrix@example.net,Intern,Trainee Engineer,_i5SbRrh,1.0,,
660feb0a6f3688dd93b442f1,INT087,Laura Carter,angelrobertson@example.net,Intern,Trainee Engineer,R_@4EC$s,1.0,,
660feb0a6f3688dd93b442f6,INT092,Vanessa Washington,gardnercory@example.org,Intern,Trainee Engineer,^f4ERDbQ,1.0,,
660feb0a6f3688dd93b442fb,INT097,Joshua Hayes,wintersoscar@example.net,Intern,Trainee Engineer,@9_zsBKm,1.0,,
661224230ccdccd17b1e084c,INT200,Manisha Bhandari,manishabhandari@jmangroup.com,Intern,Trainee Engineer,hello,1.0,0.0,
6613726b575d5b967ace46b4,INT800,isita,ishita@gmail.com,Intern,Trainee Engineer,hello,1.0,0.0,
661565a670824c5e5265b40c,EMP500,Manisha Bhandari,manishabhandari119@gmail.com,Admin,Manager,hello,,0.0,
66053fefd7c487757f97efbc,EMP001,Tyler Campbell,natasha72@example.net,Employee,Developer,(O(#9Pbi,,,2017-07-11 14:48:27
660feb0a6f3688dd93b442ff,EMP002,Aaron Robinson,williamsaudrey@example.com,Employee,Manager,w_1YISqk,,,2021-08-26 06:48:43
660feb0a6f3688dd93b443a3,EMP003,Daniel Warner,gailhayes@example.org,Employee,Software Engineer,%8VXVPgp,,,2019-07-16 20:09:09
660feb0a6f3688dd93b44314,EMP004,Willie Lamb,brentlee@example.org,Employee,Senior Software Engineer,^7FY4Tlf,,,2024-02-27 18:22:26
660feb0a6f3688dd93b44371,EMP005,Matthew Gomez DDS,avaughn@example.com,Employee,Senior Software Engineer,s#W9OzBe,,,2021-05-27 22:26:39
660feb0a6f3688dd93b44321,EMP006,Stephen Thompson,deborah58@example.net,Employee,Developer,T(@8H1Ch,,,2017-06-20 03:16:48
660feb0a6f3688dd93b4439a,EMP007,Tiffany Reid,obrown@example.org,Employee,Solution Enabler,X(sU1LOt,,,2019-04-01 13:59:00
660feb0a6f3688dd93b44384,EMP008,Joshua Cole,jessicawest@example.org,Employee,Data Engineer,)6^3P4Eu,,,2018-09-06 19:42:59
660feb0a6f3688dd93b4435e,EMP009,Douglas Davidson,lunaamanda@example.org,Employee,Data Analyst,8(50Y!Hw,,,2017-04-14 21:59:00
660feb0a6f3688dd93b443a5,EMP010,Mary Powell DDS,robertgarcia@example.com,Employee,Solution Enabler,X3(g1LUv,,,2019-10-22 23:58:20
660feb0a6f3688dd93b4432c,EMP011,Elizabeth Sparks,sarahdelacruz@example.org,Employee,Data Analyst,*g8AKzbu,,,2023-02-07 12:01:33
660feb0a6f3688dd93b44388,EMP012,Robert Stevens,brendajohnson@example.net,Employee,Software Engineer,wg!2eE1r,,,2023-10-20 01:42:34
660feb0a6f3688dd93b4432e,EMP013,Jeffrey Greene,greenbenjamin@example.net,Employee,Manager,i^0JLnSy,,,2018-09-10 18:29:57
660feb0a6f3688dd93b443bb,EMP014,Luis Gibson,jessicamitchell@example.org,Employee,Solution Consultant,+Y1lLKvK,,,2020-06-02 19:03:23
660feb0a6f3688dd93b443b3,EMP015,William Anderson,marc37@example.org,Employee,Manager,!G3$Os8R,,,2020-05-27 02:28:38
660feb0a6f3688dd93b44393,EMP016,Leah Wood,iarellano@example.com,Employee,Developer,P^13Arcx,,,2022-12-06 00:11:50
660feb0a6f3688dd93b44323,EMP017,Michelle Lang,rogersyvonne@example.com,Employee,Developer,K#8AY#zs,,,2021-09-17 14:11:04
660feb0a6f3688dd93b44352,EMP018,Kevin Singh,terriking@example.org,Employee,Manager,)VeT0Pqy,,,2020-02-01 05:23:10
660feb0a6f3688dd93b4434e,EMP019,David Burns,sheri62@example.net,Employee,Solution Enabler,$*kpP7Gy,,,2019-09-04 20:17:07
660feb0a6f3688dd93b44306,EMP020,Christopher Stevens,riverakelli@example.org,Employee,Data Analyst,$@3TLqXg,,,2019-11-25 03:32:13
660feb0a6f3688dd93b44346,EMP021,Mrs. Cindy Lopez MD,robertsbecky@example.com,Employee,Data Engineer,#9tQAl7H,,,2020-03-27 20:10:09
660feb0a6f3688dd93b44331,EMP022,Frederick Davis,mlane@example.org,Employee,Manager,hiT$0FJr,,,2022-09-23 15:17:31
660feb0a6f3688dd93b4439b,EMP023,Tammie Henry,daniel96@example.com,Employee,Software Engineer,L&8VmluR,,,2021-09-05 15:58:26
660feb0a6f3688dd93b4433b,EMP024,Amy Hunt,kristenmartin@example.net,Employee,Developer,%PK5$Ei),,,2017-09-26 18:51:07
660feb0a6f3688dd93b4433a,EMP025,Joshua Johnson,sara77@example.org,Employee,Developer,e$A8&LTv,,,2023-06-05 01:06:43
660feb0a6f3688dd93b44340,EMP026,Darlene Christensen,nathan77@example.net,Employee,Data Analyst,+*2QbemW,,,2023-03-04 02:28:53
660feb0a6f3688dd93b44345,EMP027,Karen Figueroa,jennifersimmons@example.com,Employee,Data Engineer,nmy@4CYh,,,2021-08-07 06:30:49
660feb0a6f3688dd93b4430b,EMP028,Kelli Morales,ryan27@example.org,Employee,Solution Enabler,#0b@BqAv,,,2018-07-27 16:41:11
660feb0a6f3688dd93b443af,EMP029,Sarah Fitzgerald,richardgarner@example.net,Employee,Senior Software Engineer,p_r(7HbL,,,2023-06-10 04:04:16
660feb0a6f3688dd93b4430c,EMP030,Pamela Fowler,rachelsmith@example.com,Employee,Developer,&8OfdqvJ,,,2020-04-07 01:11:23
660feb0a6f3688dd93b443ab,EMP031,Kenneth Brady,cynthia02@example.net,Employee,Data Engineer,(qjg8Eq8,,,2022-07-08 10:42:07
660feb0a6f3688dd93b44390,EMP032,John Tran,meganbates@example.com,Employee,Developer,C@7LsVv@,,,2022-11-13 22:43:48
660feb0a6f3688dd93b44329,EMP033,Jennifer Mills,william39@example.com,Employee,Data Analyst,U+L43Nj8,,,2019-05-15 23:23:13
660feb0a6f3688dd93b443a2,EMP034,Nancy Gonzales,woodryan@example.com,Employee,Senior Software Engineer,(i)1TRet,,,2021-04-01 20:55:56
660feb0a6f3688dd93b44310,EMP035,Lori Richardson,gibsonmichele@example.net,Employee,Senior Software Engineer,j9#5JctP,,,2017-04-29 08:08:41
660feb0a6f3688dd93b4438d,EMP036,Jillian Bailey,jessica00@example.org,Employee,Senior Software Engineer,*^y4G6ox,,,2021-02-15 01:57:09
660feb0a6f3688dd93b4438b,EMP037,Joanne Frazier,suzanne80@example.com,Employee,Manager,k@4eBNak,,,2018-04-19 05:17:47
660feb0a6f3688dd93b44311,EMP038,George Potter,moniquemcgee@example.org,Employee,Solution Consultant,+p$m8PyS,,,2022-05-02 03:49:25
660feb0a6f3688dd93b4431b,EMP039,Jennifer Brady,ndean@example.com,Employee,Developer,@86GeN+p,,,2019-11-07 00:19:52
660feb0a6f3688dd93b44316,EMP040,Danny Adams,lrodriguez@example.net,Employee,Data Engineer,#N4F5VOh,,,2019-03-20 10:00:35
660feb0a6f3688dd93b443a0,EMP041,Debra Bowman,richardjenkins@example.net,Employee,Data Engineer,z1+9NpEq,,,2019-08-21 01:53:17
660feb0a6f3688dd93b443c2,EMP042,Yolanda Lopez,spencermark@example.com,Employee,Data Engineer,)0BkZBK^,,,2017-06-07 09:53:41
660feb0a6f3688dd93b443b6,EMP043,Michelle Taylor,hunterwayne@example.com,Employee,Solution Enabler,*8LqAYzm,,,2022-02-28 04:29:42
660feb0a6f3688dd93b44385,EMP044,Robert Young,stephanielucero@example.org,Employee,Manager,&6tMQR5u,,,2021-09-23 10:30:45
660feb0a6f3688dd93b44364,EMP045,Jessica Montgomery,adamsjoanne@example.com,Employee,Senior Software Engineer,@2M3Iq#2,,,2023-07-14 16:47:40
660feb0a6f3688dd93b44377,EMP046,Lance Goodman,lisa36@example.net,Employee,Data Engineer,(y6cJwyZ,,,2023-10-25 00:29:59
660feb0a6f3688dd93b442fe,EMP047,Brian Scott,alan49@example.com,Employee,Solution Enabler,!!t9Ygrp,,,2019-07-30 05:55:13
660feb0a6f3688dd93b44348,EMP048,Emily Armstrong,robertsmith@example.com,Employee,Software Engineer,)8CHLHv_,,,2019-01-12 21:18:32
660feb0a6f3688dd93b4437e,EMP049,Mary Lopez,lisacamacho@example.org,Employee,Data Analyst,!z3hz^Zp,,,2017-10-08 04:55:51
660feb0a6f3688dd93b4432f,EMP050,Kevin Castillo,michaelpalmer@example.net,Employee,Solution Enabler,4#T46VVc,,,2023-07-28 21:01:38
660feb0a6f3688dd93b4433e,EMP051,Kenneth Banks,mcneilclaire@example.net,Employee,Software Engineer,Am6*Z0Em,,,2018-02-26 19:03:55
660feb0a6f3688dd93b44379,EMP052,Michael Morrison,gjackson@example.com,Employee,Software Engineer,^SLj)5Yn,,,2019-07-20 16:08:24
660feb0a6f3688dd93b44382,EMP053,David Roy,mchapman@example.org,Employee,Solution Consultant,$1#ObM!x,,,2018-03-16 21:01:58
660feb0a6f3688dd93b44308,EMP054,Taylor Kelly,rcochran@example.net,Employee,Data Analyst,@bb0Eyx&,,,2019-08-30 06:00:29
660feb0a6f3688dd93b44366,EMP055,Jeffrey Rivera,taylorramirez@example.net,Employee,Senior Software Engineer,0$6UOKes,,,2017-11-29 02:39:29
660feb0a6f3688dd93b44381,EMP056,Derek Greer,gregory88@example.com,Employee,Manager,!(d6vWrj,,,2021-10-06 16:35:02
660feb0a6f3688dd93b44373,EMP057,Ashley Moore,herreramatthew@example.com,Employee,Developer,$3oGnVl2,,,2019-02-25 21:28:54
660feb0a6f3688dd93b4437c,EMP058,Adam Young,jennifercraig@example.org,Employee,Senior Software Engineer,$7J2KLpD,,,2021-12-04 09:26:31
660feb0a6f3688dd93b4431f,EMP059,Heidi Keller,carpenterronald@example.net,Employee,Manager,ECM_5S(a,,,2018-11-17 01:13:56
660feb0a6f3688dd93b44339,EMP060,Timothy Norton,fordcheryl@example.net,Employee,Solution Consultant,f*1XSbGp,,,2017-04-18 07:55:19
660feb0a6f3688dd93b4435a,EMP061,Samantha Bartlett,ayang@example.com,Employee,Developer,@)2qzWSq,,,2017-10-24 19:53:50
660feb0a6f3688dd93b4438e,EMP062,April Lambert,brownnicole@example.com,Employee,Senior Software Engineer,4&1naV3u,,,2023-10-28 02:05:19
660feb0a6f3688dd93b4435d,EMP063,Kyle Smith,malonepaul@example.com,Employee,Solution Consultant,)7vFkKc$,,,2018-10-15 00:14:15
660feb0a6f3688dd93b443b7,EMP064,Thomas Jones,maynardalexander@example.com,Employee,Software Engineer,VJt+6AQn,,,2017-04-18 20:57:04
660feb0a6f3688dd93b443c1,EMP065,Amy Weaver,gking@example.com,Employee,Manager,SN&94GyY,,,2019-12-12 13:29:01
